experiment_id,started_at,git_commit,config_sha256,data_fingerprint,split_id,model_id,random_seed,status,primary_metric,primary_value,notes
target_pilot_v1,2026-07-18T00:00:00+08:00,UNCOMMITTED,aa5cb390235f17297df59683d7b2b03834a96d205add4c5aedfb578f8dd4edce,census64ed64d8_scenesbe8cdfaed,development_2024_three_dates,none,not_applicable,REVIEW,minimum_scene_tract_retention,0.0315,Provisional ST_QA <=2 K hard mask caused severe spatially patterned exclusion
target_pilot_v2,2026-07-18T00:00:00+08:00,UNCOMMITTED,2b5d0ef7c9a1555b08b3b8b7e86029ab0cd312339a861eabf8aebc314b2866f8,census64ed64d8_scenesbe8cdfaed,development_2024_three_dates,none,not_applicable,PASS,minimum_scene_tract_retention,0.7752,Locked primary QA records ST_QA without hard threshold and retains CDIST >=1 km
target_pilot_v3,2026-07-18T00:00:00+08:00,UNCOMMITTED,90a53d035863a31e8ea06476b2c319f5de0e2f7bd1232ccfc559278eefaeae41,tigerb8814619_worldcover2020_scenesbe8cdfaed,development_2024_three_dates,none,not_applicable,PASS,minimum_scene_tract_retention,0.7783,Detailed TIGER primary manifest; static WorldCover denominator; exact gated relative endpoints
target_pilot_v4,2026-07-18T00:00:00+08:00,UNCOMMITTED,c63ecd77c0a3e8d6fc139cd4f46851821b105410af5585cac099f405621a8994,tigerb8814619_worldcover2020_mode_scenesbe8cdfaed,development_2024_three_dates,none,not_applicable,PASS,minimum_scene_tract_retention,0.7783,Mother manifest retained; pixel-identity hashes; 4x4 joint-cell relative endpoint gate
target_build_smoke_v1,2026-07-18T00:00:00+08:00,UNCOMMITTED,c63ecd77c0a3e8d6fc139cd4f46851821b105410af5585cac099f405621a8994,overpassafcd6279_grid10b8329c,development_20200516_two_scene,none,not_applicable,PASS,tract_retention_fraction,0.9681,Real fixed-grid two-scene mosaic; 1061 of 1096 labels; 213 exact hotspots; zero duplicate keys
target_build_smoke_v1_invalidated,2026-07-18T00:00:00+08:00,UNCOMMITTED,c63ecd77c0a3e8d6fc139cd4f46851821b105410af5585cac099f405621a8994,overpassafcd6279_grid10b8329c,development_first_three_overpasses,none,not_applicable,INVALIDATED,not_reportable,,Red team found half-pixel grid phase and footprint provenance defects before full build or modeling
target_build_v2_batch3,2026-07-18T00:00:00+08:00,UNCOMMITTED,4038a8c6962844079639558e19b95e8fe61baa207de1f091363957fa5462b8ae,manifest2ed014bc_grid04f9caaa_pipeline3e8e90e1,development_first_three_overpasses,none,not_applicable,PASS,usable_overpass_fraction,0.3333,Corrected Landsat-aligned grid and independent footprint; retained 1061 375 71; static pixel identity invariant; partial outputs only
target_build_v3_batch3,2026-07-18T00:00:00+08:00,UNCOMMITTED,936a841746580eb94b3350839f73382e68410ec5749e81ead44356ed85cd703c,manifest1f6ae510_grid04f9caaa_pipelinef91f28b8,development_first_three_overpasses,none,not_applicable,PASS,usable_overpass_fraction,0.3333,Versioned frozen inventory; stage-specific config hashes; atomic aggregate commit marker; 3288 unique rows; partial_ready
target_build_v3_batch10,2026-07-18T00:00:00+08:00,UNCOMMITTED,936a841746580eb94b3350839f73382e68410ec5749e81ead44356ed85cd703c,manifest1f6ae510_grid04f9caaa_pipelinef91f28b8,development_first_ten_overpasses,none,not_applicable,PASS,usable_overpass_fraction,0.7000,10960 unique QA rows; 8316 retained labels; 7 absolute usable dates; 5 relative-endpoint dates; partial_ready
target_build_v3_full90,2026-07-18T19:46:59+08:00,UNCOMMITTED,936a841746580eb94b3350839f73382e68410ec5749e81ead44356ed85cd703c,manifest1f6ae510_grid04f9caaa_pipelinef91f28b8,development_2020_2024_all_90_overpasses,none,not_applicable,PASS,usable_overpass_fraction,0.7222,98640 QA rows; 63403 legal model rows; 65 absolute usable dates; 34 relative dates; 0 duplicate keys; 0 final-test rows; model_ready
