concept_id,title,variable,year,size_mb,https_url,opendap_url,updated_at
G2533273125-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_dayl_2020.nc,dayl,2020,1483.92,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_dayl_2020.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_dayl_2020.nc,2026-05-22T23:18:54.000Z
G2533273473-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_prcp_2020.nc,prcp,2020,4514.552522,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_prcp_2020.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_prcp_2020.nc,2026-05-22T23:18:54.000Z
G2533273212-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_srad_2020.nc,srad,2020,15854.827438,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_srad_2020.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_srad_2020.nc,2026-05-22T23:18:54.000Z
G2533273692-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_tmax_2020.nc,tmax,2020,13820.11872,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_tmax_2020.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_tmax_2020.nc,2026-05-22T23:18:54.000Z
G2533273115-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_tmin_2020.nc,tmin,2020,13991.812697,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_tmin_2020.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_tmin_2020.nc,2026-05-22T23:18:54.000Z
G2533273308-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_vp_2020.nc,vp,2020,17006.159414,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_vp_2020.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_vp_2020.nc,2026-05-22T23:18:54.000Z
G2533273063-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_dayl_2021.nc,dayl,2021,1483.92,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_dayl_2021.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_dayl_2021.nc,2026-05-22T23:18:54.000Z
G2533273728-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_prcp_2021.nc,prcp,2021,4381.588382,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_prcp_2021.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_prcp_2021.nc,2026-05-22T23:18:54.000Z
G2533273059-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_srad_2021.nc,srad,2021,15827.124439,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_srad_2021.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_srad_2021.nc,2026-05-22T23:18:54.000Z
G2533272766-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_tmax_2021.nc,tmax,2021,13709.811555,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_tmax_2021.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_tmax_2021.nc,2026-05-22T23:18:54.000Z
G2533273775-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_tmin_2021.nc,tmin,2021,13991.821119,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_tmin_2021.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_tmin_2021.nc,2026-05-22T23:18:54.000Z
G2533274052-ORNL_CLOUD,Daymet_Daily_V4R1.daymet_v4_daily_na_vp_2021.nc,vp,2021,17016.168761,https://data.ornldaac.earthdata.nasa.gov/protected/daymet/Daymet_Daily_V4R1/data/daymet_v4_daily_na_vp_2021.nc,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_vp_2021.nc,2026-05-22T23:18:54.000Z
