concept_id,variable,year,access_route,subset_y_start,subset_y_stop,subset_x_start,subset_x_stop,path,bytes,sha256,source_url,retrieved_on,credential_source
G2533273125-ORNL_CLOUD,dayl,2020,direct_dap4_fixed_indices_v1,5666,5745,2900,2963,data/raw/daymet/v4r1/subsets/daymet_v4r1_daily_na_dayl_2020_la_subset.nc,378823,96791b59c7611b7d9e1dbdca5d806d31494129dd5c26135cfa407cb1d19b161d,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_dayl_2020.nc.dap.nc4?dap4.ce=%2Fy%5B5666%3A1%3A5745%5D%3B%2Fx%5B2900%3A1%3A2963%5D%3B%2Ftime%5B0%3A1%3A364%5D%3B%2Fyearday%5B0%3A1%3A364%5D%3B%2Ftime_bnds%5B0%3A1%3A364%5D%5B0%3A1%3A1%5D%3B%2Flat%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flon%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flambert_conformal_conic%3B%2Fdayl%5B0%3A1%3A364%5D%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D,2026-07-20,EARTHDATA_TOKEN
G2533273473-ORNL_CLOUD,prcp,2020,direct_dap4_fixed_indices_v1,5666,5745,2900,2963,data/raw/daymet/v4r1/subsets/daymet_v4r1_daily_na_prcp_2020_la_subset.nc,433548,2aaee1dafb3463646814b5619e3684ba5a7c7c7ee281b8a0b75c6f5ccc677ee3,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_prcp_2020.nc.dap.nc4?dap4.ce=%2Fy%5B5666%3A1%3A5745%5D%3B%2Fx%5B2900%3A1%3A2963%5D%3B%2Ftime%5B0%3A1%3A364%5D%3B%2Fyearday%5B0%3A1%3A364%5D%3B%2Ftime_bnds%5B0%3A1%3A364%5D%5B0%3A1%3A1%5D%3B%2Flat%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flon%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flambert_conformal_conic%3B%2Fprcp%5B0%3A1%3A364%5D%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D,2026-07-20,EARTHDATA_TOKEN
G2533273212-ORNL_CLOUD,srad,2020,direct_dap4_fixed_indices_v1,5666,5745,2900,2963,data/raw/daymet/v4r1/subsets/daymet_v4r1_daily_na_srad_2020_la_subset.nc,3857748,e1ed695e5e9c4deff6d577b8c8c21dc626501100b394e348cc265933157924cd,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_srad_2020.nc.dap.nc4?dap4.ce=%2Fy%5B5666%3A1%3A5745%5D%3B%2Fx%5B2900%3A1%3A2963%5D%3B%2Ftime%5B0%3A1%3A364%5D%3B%2Fyearday%5B0%3A1%3A364%5D%3B%2Ftime_bnds%5B0%3A1%3A364%5D%5B0%3A1%3A1%5D%3B%2Flat%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flon%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flambert_conformal_conic%3B%2Fsrad%5B0%3A1%3A364%5D%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D,2026-07-20,EARTHDATA_TOKEN
G2533273692-ORNL_CLOUD,tmax,2020,direct_dap4_fixed_indices_v1,5666,5745,2900,2963,data/raw/daymet/v4r1/subsets/daymet_v4r1_daily_na_tmax_2020_la_subset.nc,2806240,be7eb0fb2b16b9a97e22d58c7ee1125674b87b5694ffef482f38a1e1e065d385,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_tmax_2020.nc.dap.nc4?dap4.ce=%2Fy%5B5666%3A1%3A5745%5D%3B%2Fx%5B2900%3A1%3A2963%5D%3B%2Ftime%5B0%3A1%3A364%5D%3B%2Fyearday%5B0%3A1%3A364%5D%3B%2Ftime_bnds%5B0%3A1%3A364%5D%5B0%3A1%3A1%5D%3B%2Flat%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flon%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flambert_conformal_conic%3B%2Ftmax%5B0%3A1%3A364%5D%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D,2026-07-20,EARTHDATA_TOKEN
G2533273115-ORNL_CLOUD,tmin,2020,direct_dap4_fixed_indices_v1,5666,5745,2900,2963,data/raw/daymet/v4r1/subsets/daymet_v4r1_daily_na_tmin_2020_la_subset.nc,2435077,f7ea1099404eb15cc69f9bedb19eace4a7b8fdc6b5072abcded99a33050be538,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_tmin_2020.nc.dap.nc4?dap4.ce=%2Fy%5B5666%3A1%3A5745%5D%3B%2Fx%5B2900%3A1%3A2963%5D%3B%2Ftime%5B0%3A1%3A364%5D%3B%2Fyearday%5B0%3A1%3A364%5D%3B%2Ftime_bnds%5B0%3A1%3A364%5D%5B0%3A1%3A1%5D%3B%2Flat%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flon%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flambert_conformal_conic%3B%2Ftmin%5B0%3A1%3A364%5D%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D,2026-07-20,EARTHDATA_TOKEN
G2533273308-ORNL_CLOUD,vp,2020,direct_dap4_fixed_indices_v1,5666,5745,2900,2963,data/raw/daymet/v4r1/subsets/daymet_v4r1_daily_na_vp_2020_la_subset.nc,4173275,7f15cb23a5254685ed3190c2b8f2225f2828a7bbd6173780e2cb6f033198324f,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_vp_2020.nc.dap.nc4?dap4.ce=%2Fy%5B5666%3A1%3A5745%5D%3B%2Fx%5B2900%3A1%3A2963%5D%3B%2Ftime%5B0%3A1%3A364%5D%3B%2Fyearday%5B0%3A1%3A364%5D%3B%2Ftime_bnds%5B0%3A1%3A364%5D%5B0%3A1%3A1%5D%3B%2Flat%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flon%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flambert_conformal_conic%3B%2Fvp%5B0%3A1%3A364%5D%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D,2026-07-20,EARTHDATA_TOKEN
G2533273063-ORNL_CLOUD,dayl,2021,direct_dap4_fixed_indices_v1,5666,5745,2900,2963,data/raw/daymet/v4r1/subsets/daymet_v4r1_daily_na_dayl_2021_la_subset.nc,378823,c1f1e6ab74144c484f2dc3ea4b09c50cb46234ecf6d926ea7787f1a3a72d7658,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_dayl_2021.nc.dap.nc4?dap4.ce=%2Fy%5B5666%3A1%3A5745%5D%3B%2Fx%5B2900%3A1%3A2963%5D%3B%2Ftime%5B0%3A1%3A364%5D%3B%2Fyearday%5B0%3A1%3A364%5D%3B%2Ftime_bnds%5B0%3A1%3A364%5D%5B0%3A1%3A1%5D%3B%2Flat%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flon%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flambert_conformal_conic%3B%2Fdayl%5B0%3A1%3A364%5D%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D,2026-07-20,EARTHDATA_TOKEN
G2533273728-ORNL_CLOUD,prcp,2021,direct_dap4_fixed_indices_v1,5666,5745,2900,2963,data/raw/daymet/v4r1/subsets/daymet_v4r1_daily_na_prcp_2021_la_subset.nc,465601,c922231ba2265bed913dc5ec0e6215c836ff0b9a435957ff0e548728cffe3701,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_prcp_2021.nc.dap.nc4?dap4.ce=%2Fy%5B5666%3A1%3A5745%5D%3B%2Fx%5B2900%3A1%3A2963%5D%3B%2Ftime%5B0%3A1%3A364%5D%3B%2Fyearday%5B0%3A1%3A364%5D%3B%2Ftime_bnds%5B0%3A1%3A364%5D%5B0%3A1%3A1%5D%3B%2Flat%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flon%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flambert_conformal_conic%3B%2Fprcp%5B0%3A1%3A364%5D%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D,2026-07-20,EARTHDATA_TOKEN
G2533273059-ORNL_CLOUD,srad,2021,direct_dap4_fixed_indices_v1,5666,5745,2900,2963,data/raw/daymet/v4r1/subsets/daymet_v4r1_daily_na_srad_2021_la_subset.nc,3866318,8846a26d7f6eedf85d5b423144b238a218ccb8c239867284110014d929deb209,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_srad_2021.nc.dap.nc4?dap4.ce=%2Fy%5B5666%3A1%3A5745%5D%3B%2Fx%5B2900%3A1%3A2963%5D%3B%2Ftime%5B0%3A1%3A364%5D%3B%2Fyearday%5B0%3A1%3A364%5D%3B%2Ftime_bnds%5B0%3A1%3A364%5D%5B0%3A1%3A1%5D%3B%2Flat%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flon%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flambert_conformal_conic%3B%2Fsrad%5B0%3A1%3A364%5D%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D,2026-07-20,EARTHDATA_TOKEN
G2533272766-ORNL_CLOUD,tmax,2021,direct_dap4_fixed_indices_v1,5666,5745,2900,2963,data/raw/daymet/v4r1/subsets/daymet_v4r1_daily_na_tmax_2021_la_subset.nc,2820403,e955a6444c668f0c822fdffb50cc057e8a4c840e2f7d2724519e0904fc122fd0,https://opendap.earthdata.nasa.gov/collections/C2532426483-ORNL_CLOUD/granules/Daymet_Daily_V4R1.daymet_v4_daily_na_tmax_2021.nc.dap.nc4?dap4.ce=%2Fy%5B5666%3A1%3A5745%5D%3B%2Fx%5B2900%3A1%3A2963%5D%3B%2Ftime%5B0%3A1%3A364%5D%3B%2Fyearday%5B0%3A1%3A364%5D%3B%2Ftime_bnds%5B0%3A1%3A364%5D%5B0%3A1%3A1%5D%3B%2Flat%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flon%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D%3B%2Flambert_conformal_conic%3B%2Ftmax%5B0%3A1%3A364%5D%5B5666%3A1%3A5745%5D%5B2900%3A1%3A2963%5D,2026-07-20,EARTHDATA_TOKEN
