physical_acquisition_id,platform,acquired_utc,acquisition_local_date,relative_orbit,normalized_datatake_id,processing_baseline,generation_time,union_city_coverage_fraction,item_count,item_ids,mgrs_tiles
sentinel-2a|2020-03-19T18:30:51.024000Z|R27|GS2A_20200319T183051_024763,sentinel-2a,2020-03-19T18:30:51.024000Z,2020-03-19,27,GS2A_20200319T183051_024763,02.12,2020-10-12T16:34:55.621000Z,0.9999999999999992,2,S2A_MSIL2A_20200319T183051_R027_T11SLT_20201012T163455|S2A_MSIL2A_20200319T183051_R027_T11SLU_20201012T163452,11SLT|11SLU
sentinel-2a|2020-03-29T18:29:41.024000Z|R27|GS2A_20200329T182941_024906,sentinel-2a,2020-03-29T18:29:41.024000Z,2020-03-29,27,GS2A_20200329T182941_024906,02.12,2020-10-20T18:34:07.711000Z,0.9999999999999992,2,S2A_MSIL2A_20200329T182941_R027_T11SLT_20201020T183407|S2A_MSIL2A_20200329T182941_R027_T11SLU_20201020T183343,11SLT|11SLU
sentinel-2a|2020-04-08T18:29:21.024000Z|R27|GS2A_20200408T182921_025049,sentinel-2a,2020-04-08T18:29:21.024000Z,2020-04-08,27,GS2A_20200408T182921_025049,02.12,2020-09-25T12:35:09.405000Z,0.9999999999999992,2,S2A_MSIL2A_20200408T182921_R027_T11SLT_20200925T123509|S2A_MSIL2A_20200408T182921_R027_T11SLU_20200925T123506,11SLT|11SLU
sentinel-2a|2020-04-18T18:29:21.024000Z|R27|GS2A_20200418T182921_025192,sentinel-2a,2020-04-18T18:29:21.024000Z,2020-04-18,27,GS2A_20200418T182921_025192,02.12,2020-09-24T00:55:36.891000Z,0.9999999999999992,2,S2A_MSIL2A_20200418T182921_R027_T11SLT_20200924T005530|S2A_MSIL2A_20200418T182921_R027_T11SLU_20200924T005536,11SLT|11SLU
sentinel-2a|2020-04-28T18:29:21.024000Z|R27|GS2A_20200428T182921_025335,sentinel-2a,2020-04-28T18:29:21.024000Z,2020-04-28,27,GS2A_20200428T182921_025335,02.12,2020-09-22T11:00:18.280000Z,0.9999999999999992,2,S2A_MSIL2A_20200428T182921_R027_T11SLT_20200922T110013|S2A_MSIL2A_20200428T182921_R027_T11SLU_20200922T110018,11SLT|11SLU
sentinel-2a|2020-05-08T18:29:21.024000Z|R27|GS2A_20200508T182921_025478,sentinel-2a,2020-05-08T18:29:21.024000Z,2020-05-08,27,GS2A_20200508T182921_025478,02.12,2020-09-21T00:38:16.263000Z,0.9999999999999992,2,S2A_MSIL2A_20200508T182921_R027_T11SLT_20200921T003806|S2A_MSIL2A_20200508T182921_R027_T11SLU_20200921T003816,11SLT|11SLU
sentinel-2a|2020-05-18T18:29:21.024000Z|R27|GS2A_20200518T182921_025621,sentinel-2a,2020-05-18T18:29:21.024000Z,2020-05-18,27,GS2A_20200518T182921_025621,02.12,2020-09-10T02:40:19.416000Z,0.9999999999999992,2,S2A_MSIL2A_20200518T182921_R027_T11SLT_20200910T024017|S2A_MSIL2A_20200518T182921_R027_T11SLU_20200910T024019,11SLT|11SLU
sentinel-2a|2020-05-28T18:29:21.024000Z|R27|GS2A_20200528T182921_025764,sentinel-2a,2020-05-28T18:29:21.024000Z,2020-05-28,27,GS2A_20200528T182921_025764,02.12,2020-09-11T06:46:59.687000Z,0.9999999999999992,2,S2A_MSIL2A_20200528T182921_R027_T11SLT_20200911T064658|S2A_MSIL2A_20200528T182921_R027_T11SLU_20200911T064659,11SLT|11SLU
sentinel-2a|2020-06-07T18:29:21.024000Z|R27|GS2A_20200607T182921_025907,sentinel-2a,2020-06-07T18:29:21.024000Z,2020-06-07,27,GS2A_20200607T182921_025907,02.12,2020-08-26T12:05:56.692000Z,0.9999999999999992,2,S2A_MSIL2A_20200607T182921_R027_T11SLT_20200826T120554|S2A_MSIL2A_20200607T182921_R027_T11SLU_20200826T120556,11SLT|11SLU
sentinel-2a|2020-06-17T18:29:21.024000Z|R27|GS2A_20200617T182921_026050,sentinel-2a,2020-06-17T18:29:21.024000Z,2020-06-17,27,GS2A_20200617T182921_026050,02.12,2020-08-23T02:15:09.522000Z,0.9999999999999992,2,S2A_MSIL2A_20200617T182921_R027_T11SLT_20200823T021508|S2A_MSIL2A_20200617T182921_R027_T11SLU_20200823T021509,11SLT|11SLU
