target_date,physical_acquisition_id,acquisition_local_date,lag_days
2020-05-16,sentinel-2a|2020-03-19T18:30:51.024000Z|R27|GS2A_20200319T183051_024763,2020-03-19,58
2020-05-16,sentinel-2a|2020-03-29T18:29:41.024000Z|R27|GS2A_20200329T182941_024906,2020-03-29,48
2020-05-16,sentinel-2a|2020-04-08T18:29:21.024000Z|R27|GS2A_20200408T182921_025049,2020-04-08,38
2020-05-16,sentinel-2a|2020-04-18T18:29:21.024000Z|R27|GS2A_20200418T182921_025192,2020-04-18,28
2020-05-16,sentinel-2a|2020-04-28T18:29:21.024000Z|R27|GS2A_20200428T182921_025335,2020-04-28,18
2020-05-16,sentinel-2a|2020-05-08T18:29:21.024000Z|R27|GS2A_20200508T182921_025478,2020-05-08,8
2020-05-16,sentinel-2b|2020-03-24T18:29:19.024000Z|R27|GS2B_20200324T182919_015926,2020-03-24,53
2020-05-16,sentinel-2b|2020-04-03T18:29:19.024000Z|R27|GS2B_20200403T182919_016069,2020-04-03,43
2020-05-16,sentinel-2b|2020-04-13T18:29:19.024000Z|R27|GS2B_20200413T182919_016212,2020-04-13,33
2020-05-16,sentinel-2b|2020-04-23T18:29:09.024000Z|R27|GS2B_20200423T182909_016355,2020-04-23,23
2020-05-16,sentinel-2b|2020-05-03T18:29:19.024000Z|R27|GS2B_20200503T182919_016498,2020-05-03,13
2020-05-16,sentinel-2b|2020-05-13T18:29:19.024000Z|R27|GS2B_20200513T182919_016641,2020-05-13,3
2020-06-01,sentinel-2a|2020-04-08T18:29:21.024000Z|R27|GS2A_20200408T182921_025049,2020-04-08,54
2020-06-01,sentinel-2a|2020-04-18T18:29:21.024000Z|R27|GS2A_20200418T182921_025192,2020-04-18,44
2020-06-01,sentinel-2a|2020-04-28T18:29:21.024000Z|R27|GS2A_20200428T182921_025335,2020-04-28,34
2020-06-01,sentinel-2a|2020-05-08T18:29:21.024000Z|R27|GS2A_20200508T182921_025478,2020-05-08,24
2020-06-01,sentinel-2a|2020-05-18T18:29:21.024000Z|R27|GS2A_20200518T182921_025621,2020-05-18,14
2020-06-01,sentinel-2a|2020-05-28T18:29:21.024000Z|R27|GS2A_20200528T182921_025764,2020-05-28,4
2020-06-01,sentinel-2b|2020-04-03T18:29:19.024000Z|R27|GS2B_20200403T182919_016069,2020-04-03,59
2020-06-01,sentinel-2b|2020-04-13T18:29:19.024000Z|R27|GS2B_20200413T182919_016212,2020-04-13,49
2020-06-01,sentinel-2b|2020-04-23T18:29:09.024000Z|R27|GS2B_20200423T182909_016355,2020-04-23,39
2020-06-01,sentinel-2b|2020-05-03T18:29:19.024000Z|R27|GS2B_20200503T182919_016498,2020-05-03,29
2020-06-01,sentinel-2b|2020-05-13T18:29:19.024000Z|R27|GS2B_20200513T182919_016641,2020-05-13,19
2020-06-01,sentinel-2b|2020-05-23T18:29:19.024000Z|R27|GS2B_20200523T182919_016784,2020-05-23,9
2020-06-17,sentinel-2a|2020-04-18T18:29:21.024000Z|R27|GS2A_20200418T182921_025192,2020-04-18,60
2020-06-17,sentinel-2a|2020-04-28T18:29:21.024000Z|R27|GS2A_20200428T182921_025335,2020-04-28,50
2020-06-17,sentinel-2a|2020-05-08T18:29:21.024000Z|R27|GS2A_20200508T182921_025478,2020-05-08,40
2020-06-17,sentinel-2a|2020-05-18T18:29:21.024000Z|R27|GS2A_20200518T182921_025621,2020-05-18,30
2020-06-17,sentinel-2a|2020-05-28T18:29:21.024000Z|R27|GS2A_20200528T182921_025764,2020-05-28,20
