overpass_id,platform,local_date,acquired_utc_min,acquired_utc_max,scene_ids,wrs_path_rows,scene_count,union_city_coverage_fraction,ambiguous_local_date,primary_eligible,source_lock_sha256
landsat-8_20200516T182745Z,landsat-8,2020-05-16,2020-05-16T18:27:45.431567+00:00,2020-05-16T18:28:09.326842+00:00,LC08_L2SP_041036_20200516_02_T1|LC08_L2SP_041037_20200516_02_T1,041/036|041/037,2,0.9999999999999992,False,True,2f3cb4076d3837b33c3a4b4adb0cc4bb6abadbc53a2d394a6e8e4dc42006555e
landsat-8_20200601T182750Z,landsat-8,2020-06-01,2020-06-01T18:27:50.386539+00:00,2020-06-01T18:28:14.281814+00:00,LC08_L2SP_041036_20200601_02_T1|LC08_L2SP_041037_20200601_02_T1,041/036|041/037,2,0.9999999999999992,False,True,a564fdc249d406bfb9bebb3afc2c567392f898d5e75db238785103e20ea50f5d
landsat-8_20200617T182800Z,landsat-8,2020-06-17,2020-06-17T18:28:00.236661+00:00,2020-06-17T18:28:24.127701+00:00,LC08_L2SP_041036_20200617_02_T1|LC08_L2SP_041037_20200617_02_T1,041/036|041/037,2,0.9999999999999992,False,True,b312c740570f6fdb150043f382a7f7f290eaea1817083b0334e927bcda16ffde
landsat-8_20200703T182808Z,landsat-8,2020-07-03,2020-07-03T18:28:08.021113+00:00,2020-07-03T18:28:31.912153+00:00,LC08_L2SP_041036_20200703_02_T1|LC08_L2SP_041037_20200703_02_T1,041/036|041/037,2,0.9999999999999992,False,True,98f83e6c7dd38a029deb9fe187e0401d08c09081e4f33b771a5ef393f56eaabc
landsat-8_20200719T182813Z,landsat-8,2020-07-19,2020-07-19T18:28:13.806053+00:00,2020-07-19T18:28:37.701329+00:00,LC08_L2SP_041036_20200719_02_T1|LC08_L2SP_041037_20200719_02_T1,041/036|041/037,2,0.9999999999999992,False,True,7f846fd49e79f0f9ff63120b2fe8ac534aaae85ff4800dbbe72eb6dd03416ac4
landsat-8_20200804T182817Z,landsat-8,2020-08-04,2020-08-04T18:28:17.620792+00:00,2020-08-04T18:28:41.507596+00:00,LC08_L2SP_041036_20200804_02_T1|LC08_L2SP_041037_20200804_02_T1,041/036|041/037,2,0.9999999999999992,False,True,1f26819262990787a908267518c3b879c426ee6f13e014f5c948ba1c35221533
landsat-8_20200820T182823Z,landsat-8,2020-08-20,2020-08-20T18:28:23.781183+00:00,2020-08-20T18:28:47.672222+00:00,LC08_L2SP_041036_20200820_02_T1|LC08_L2SP_041037_20200820_02_T1,041/036|041/037,2,0.9999999999999992,False,True,31ed75215d9d59f43dd2ad91754468a2006a0a62733505808fd2df151e69d6c7
landsat-8_20200905T182831Z,landsat-8,2020-09-05,2020-09-05T18:28:31.330346+00:00,2020-09-05T18:28:55.225621+00:00,LC08_L2SP_041036_20200905_02_T1|LC08_L2SP_041037_20200905_02_T1,041/036|041/037,2,0.9999999999999992,False,True,1ca9b260859dbf95005042cca9470fb67a1934a31f461632e435ab47c83d9a0e
landsat-8_20200921T182836Z,landsat-8,2020-09-21,2020-09-21T18:28:36.731621+00:00,2020-09-21T18:29:00.626897+00:00,LC08_L2SP_041036_20200921_02_T1|LC08_L2SP_041037_20200921_02_T1,041/036|041/037,2,0.9999999999999992,False,True,915b8d3a5d4f755888f4cfcf7105971d11b535ed8c81a09c2f815ff336aea055
landsat-8_20201007T182839Z,landsat-8,2020-10-07,2020-10-07T18:28:39.748875+00:00,2020-10-07T18:29:03.644150+00:00,LC08_L2SP_041036_20201007_02_T1|LC08_L2SP_041037_20201007_02_T1,041/036|041/037,2,0.9999999999999992,False,True,7d30810a33ecf63551af21920c52e2a75cba178c6da9630acd26b7921b76cc27
landsat-8_20201023T182840Z,landsat-8,2020-10-23,2020-10-23T18:28:40.090724+00:00,2020-10-23T18:29:03.977528+00:00,LC08_L2SP_041036_20201023_02_T1|LC08_L2SP_041037_20201023_02_T1,041/036|041/037,2,0.9999999999999992,False,True,bf22afd091ecb6af3e5c2d66da53d9751f21489f2a986671dd0e232e1291e77c
landsat-8_20210503T182750Z,landsat-8,2021-05-03,2021-05-03T18:27:50.902193+00:00,2021-05-03T18:28:14.793233+00:00,LC08_L2SP_041036_20210503_02_T1|LC08_L2SP_041037_20210503_02_T1,041/036|041/037,2,0.9999999999999992,False,True,400bb7e5eb299fa4087fba0d0141080672f0b33b67b0e1e6cf93dd31b973f655
landsat-8_20210519T182758Z,landsat-8,2021-05-19,2021-05-19T18:27:58.042992+00:00,2021-05-19T18:28:21.938267+00:00,LC08_L2SP_041036_20210519_02_T1|LC08_L2SP_041037_20210519_02_T1,041/036|041/037,2,0.9999999999999992,False,True,3601d27296e5b9b61dcee27531dc80ee104b1a08ca4704515a2f8221d8f13340
landsat-8_20210604T182806Z,landsat-8,2021-06-04,2021-06-04T18:28:06.332453+00:00,2021-06-04T18:28:30.219256+00:00,LC08_L2SP_041036_20210604_02_T1|LC08_L2SP_041037_20210604_02_T1,041/036|041/037,2,0.9999999999999992,False,True,7e3fe0b913ee45bd36a050b3b42bbe82e012c48182e68a10b9154492be3a063f
landsat-8_20210620T182811Z,landsat-8,2021-06-20,2021-06-20T18:28:11.769274+00:00,2021-06-20T18:28:35.664549+00:00,LC08_L2SP_041036_20210620_02_T1|LC08_L2SP_041037_20210620_02_T1,041/036|041/037,2,0.9999999999999992,False,True,4e5220ffca5403ce5ba0b51da304da06abde0e2e81b5deb9f0b1721e4202173a
landsat-8_20210706T182814Z,landsat-8,2021-07-06,2021-07-06T18:28:14.356954+00:00,2021-07-06T18:28:38.252231+00:00,LC08_L2SP_041036_20210706_02_T1|LC08_L2SP_041037_20210706_02_T1,041/036|041/037,2,0.9999999999999992,False,True,ce902780b7c8a34ece24a83b7fd21f141e336ac1b207964c82a6ca563080c084
landsat-8_20210722T182818Z,landsat-8,2021-07-22,2021-07-22T18:28:18.740626+00:00,2021-07-22T18:28:42.631665+00:00,LC08_L2SP_041036_20210722_02_T1|LC08_L2SP_041037_20210722_02_T1,041/036|041/037,2,0.9999999999999992,False,True,4e544641f905ffec1cf2bc29e8f47c93ecd5a0ad26f9e8ec3d9a4cc8dd279365
landsat-8_20210807T182826Z,landsat-8,2021-08-07,2021-08-07T18:28:26.218316+00:00,2021-08-07T18:28:50.109355+00:00,LC08_L2SP_041036_20210807_02_T1|LC08_L2SP_041037_20210807_02_T1,041/036|041/037,2,0.9999999999999992,False,True,d60b8ce6c85b5616f6a265e3fe0b8d265d856dc92f813ba450b2a81c19d0ad17
landsat-8_20210823T182831Z,landsat-8,2021-08-23,2021-08-23T18:28:31.095039+00:00,2021-08-23T18:28:54.981842+00:00,LC08_L2SP_041036_20210823_02_T1|LC08_L2SP_041037_20210823_02_T1,041/036|041/037,2,0.9999999999999992,False,True,1250c657bbf07beef640a685addd5223da8cf7dde3d36443e5d14b2bb6d0c34c
landsat-8_20210908T182835Z,landsat-8,2021-09-08,2021-09-08T18:28:35.876308+00:00,2021-09-08T18:28:59.771584+00:00,LC08_L2SP_041036_20210908_02_T1|LC08_L2SP_041037_20210908_02_T1,041/036|041/037,2,0.9999999999999992,False,True,e5aa6ec29843944b4a638b0f4f8e9cdf26c6d5e12ae4fc04aea5862672be8546
landsat-8_20210924T182838Z,landsat-8,2021-09-24,2021-09-24T18:28:38.752113+00:00,2021-09-24T18:29:02.643153+00:00,LC08_L2SP_041036_20210924_02_T1|LC08_L2SP_041037_20210924_02_T1,041/036|041/037,2,0.9999999999999992,False,True,2f0e0bf72d92250e4262e14faf25feb42090e260e587f72e0e116834096d5a9a
landsat-8_20211010T182844Z,landsat-8,2021-10-10,2021-10-10T18:28:44.589313+00:00,2021-10-10T18:29:08.480352+00:00,LC08_L2SP_041036_20211010_02_T1|LC08_L2SP_041037_20211010_02_T1,041/036|041/037,2,0.9999999999999992,False,True,68805b46bed5bc62fe0732c6ddf76e24bb10cda3e84fa579041274f0cdf2918b
landsat-8_20211026T182846Z,landsat-8,2021-10-26,2021-10-26T18:28:46.115286+00:00,2021-10-26T18:29:10.006326+00:00,LC08_L2SP_041036_20211026_02_T1|LC08_L2SP_041037_20211026_02_T1,041/036|041/037,2,0.9999999999999992,False,True,85027d70c9bc85fd81e92b3662be76bc3e0f36736b6dfe8b9d791731b239c988
landsat-8_20220506T182811Z,landsat-8,2022-05-06,2022-05-06T18:28:11.495371+00:00,2022-05-06T18:28:35.390646+00:00,LC08_L2SP_041036_20220506_02_T1|LC08_L2SP_041037_20220506_02_T1,041/036|041/037,2,0.9999999999999992,False,True,10878f4164efca336dec5d4b09a495aef2bb4c7cffa00ff04c66ed1b33004f6b
landsat-9_20220514T182755Z,landsat-9,2022-05-14,2022-05-14T18:27:55.971267+00:00,2022-05-14T18:28:19.853810+00:00,LC09_L2SP_041036_20220514_02_T1|LC09_L2SP_041037_20220514_02_T1,041/036|041/037,2,0.9999999999999992,False,True,be3bc64f28e5a5486ba439ca69e34e6bad19a6e44bb6a12f0725b96f2d697f71
landsat-8_20220522T182816Z,landsat-8,2022-05-22,2022-05-22T18:28:16.559245+00:00,2022-05-22T18:28:40.454522+00:00,LC08_L2SP_041036_20220522_02_T1|LC08_L2SP_041037_20220522_02_T1,041/036|041/037,2,0.9999999999999992,False,True,d6a5157906bbd68241467279add6aa28cf11886caf7c0c294d54226f2fb067b2
landsat-9_20220530T182751Z,landsat-9,2022-05-30,2022-05-30T18:27:51.299670+00:00,2022-05-30T18:28:15.190685+00:00,LC09_L2SP_041036_20220530_02_T1|LC09_L2SP_041037_20220530_02_T1,041/036|041/037,2,0.9999999999999992,False,True,07677f1b7c6d128b1a82aae16b7bdb0f36a242b878b496a23bac8b9a171b62c0
