item_id,platform,acquired_utc,local_date,wrs_path,wrs_row,cloud_cover_percent,city_coverage_fraction,lwir11_href,qa_pixel_href,qa_href,cdist_href,qa_radsat_href
LC08_L2SP_041036_20200516_02_T1,landsat-8,2020-05-16T18:27:45.431567+00:00,2020-05-16,041,036,6.7,0.9999999999999992,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200516_20200820_02_T1/LC08_L2SP_041036_20200516_20200820_02_T1_ST_B10.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200516_20200820_02_T1/LC08_L2SP_041036_20200516_20200820_02_T1_QA_PIXEL.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200516_20200820_02_T1/LC08_L2SP_041036_20200516_20200820_02_T1_ST_QA.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200516_20200820_02_T1/LC08_L2SP_041036_20200516_20200820_02_T1_ST_CDIST.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200516_20200820_02_T1/LC08_L2SP_041036_20200516_20200820_02_T1_QA_RADSAT.TIF
LC08_L2SP_041036_20200601_02_T1,landsat-8,2020-06-01T18:27:50.386539+00:00,2020-06-01,041,036,31.06,0.9999999999999992,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200601_20200824_02_T1/LC08_L2SP_041036_20200601_20200824_02_T1_ST_B10.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200601_20200824_02_T1/LC08_L2SP_041036_20200601_20200824_02_T1_QA_PIXEL.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200601_20200824_02_T1/LC08_L2SP_041036_20200601_20200824_02_T1_ST_QA.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200601_20200824_02_T1/LC08_L2SP_041036_20200601_20200824_02_T1_ST_CDIST.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200601_20200824_02_T1/LC08_L2SP_041036_20200601_20200824_02_T1_QA_RADSAT.TIF
LC08_L2SP_041036_20200617_02_T1,landsat-8,2020-06-17T18:28:00.236661+00:00,2020-06-17,041,036,21.47,0.9999999999999992,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200617_20200824_02_T1/LC08_L2SP_041036_20200617_20200824_02_T1_ST_B10.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200617_20200824_02_T1/LC08_L2SP_041036_20200617_20200824_02_T1_QA_PIXEL.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200617_20200824_02_T1/LC08_L2SP_041036_20200617_20200824_02_T1_ST_QA.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200617_20200824_02_T1/LC08_L2SP_041036_20200617_20200824_02_T1_ST_CDIST.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200617_20200824_02_T1/LC08_L2SP_041036_20200617_20200824_02_T1_QA_RADSAT.TIF
LC08_L2SP_041036_20200703_02_T1,landsat-8,2020-07-03T18:28:08.021113+00:00,2020-07-03,041,036,0.1,0.9999999999999992,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200703_20200913_02_T1/LC08_L2SP_041036_20200703_20200913_02_T1_ST_B10.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200703_20200913_02_T1/LC08_L2SP_041036_20200703_20200913_02_T1_QA_PIXEL.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200703_20200913_02_T1/LC08_L2SP_041036_20200703_20200913_02_T1_ST_QA.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200703_20200913_02_T1/LC08_L2SP_041036_20200703_20200913_02_T1_ST_CDIST.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200703_20200913_02_T1/LC08_L2SP_041036_20200703_20200913_02_T1_QA_RADSAT.TIF
LC08_L2SP_041036_20200719_02_T1,landsat-8,2020-07-19T18:28:13.806053+00:00,2020-07-19,041,036,6.48,0.9999999999999992,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200719_20210330_02_T1/LC08_L2SP_041036_20200719_20210330_02_T1_ST_B10.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200719_20210330_02_T1/LC08_L2SP_041036_20200719_20210330_02_T1_QA_PIXEL.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200719_20210330_02_T1/LC08_L2SP_041036_20200719_20210330_02_T1_ST_QA.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200719_20210330_02_T1/LC08_L2SP_041036_20200719_20210330_02_T1_ST_CDIST.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200719_20210330_02_T1/LC08_L2SP_041036_20200719_20210330_02_T1_QA_RADSAT.TIF
LC08_L2SP_041036_20200804_02_T1,landsat-8,2020-08-04T18:28:17.620792+00:00,2020-08-04,041,036,15.32,0.9999999999999992,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200804_20200914_02_T1/LC08_L2SP_041036_20200804_20200914_02_T1_ST_B10.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200804_20200914_02_T1/LC08_L2SP_041036_20200804_20200914_02_T1_QA_PIXEL.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200804_20200914_02_T1/LC08_L2SP_041036_20200804_20200914_02_T1_ST_QA.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200804_20200914_02_T1/LC08_L2SP_041036_20200804_20200914_02_T1_ST_CDIST.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200804_20200914_02_T1/LC08_L2SP_041036_20200804_20200914_02_T1_QA_RADSAT.TIF
LC08_L2SP_041036_20200820_02_T1,landsat-8,2020-08-20T18:28:23.781183+00:00,2020-08-20,041,036,0.19,0.9999999999999992,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200820_20200905_02_T1/LC08_L2SP_041036_20200820_20200905_02_T1_ST_B10.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200820_20200905_02_T1/LC08_L2SP_041036_20200820_20200905_02_T1_QA_PIXEL.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200820_20200905_02_T1/LC08_L2SP_041036_20200820_20200905_02_T1_ST_QA.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200820_20200905_02_T1/LC08_L2SP_041036_20200820_20200905_02_T1_ST_CDIST.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200820_20200905_02_T1/LC08_L2SP_041036_20200820_20200905_02_T1_QA_RADSAT.TIF
LC08_L2SP_041036_20200905_02_T1,landsat-8,2020-09-05T18:28:31.330346+00:00,2020-09-05,041,036,1.07,0.9999999999999992,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200905_20200918_02_T1/LC08_L2SP_041036_20200905_20200918_02_T1_ST_B10.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200905_20200918_02_T1/LC08_L2SP_041036_20200905_20200918_02_T1_QA_PIXEL.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200905_20200918_02_T1/LC08_L2SP_041036_20200905_20200918_02_T1_ST_QA.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200905_20200918_02_T1/LC08_L2SP_041036_20200905_20200918_02_T1_ST_CDIST.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200905_20200918_02_T1/LC08_L2SP_041036_20200905_20200918_02_T1_QA_RADSAT.TIF
LC08_L2SP_041036_20200921_02_T1,landsat-8,2020-09-21T18:28:36.731621+00:00,2020-09-21,041,036,7.33,0.9999999999999992,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200921_20201006_02_T1/LC08_L2SP_041036_20200921_20201006_02_T1_ST_B10.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200921_20201006_02_T1/LC08_L2SP_041036_20200921_20201006_02_T1_QA_PIXEL.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200921_20201006_02_T1/LC08_L2SP_041036_20200921_20201006_02_T1_ST_QA.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200921_20201006_02_T1/LC08_L2SP_041036_20200921_20201006_02_T1_ST_CDIST.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20200921_20201006_02_T1/LC08_L2SP_041036_20200921_20201006_02_T1_QA_RADSAT.TIF
LC08_L2SP_041036_20201007_02_T1,landsat-8,2020-10-07T18:28:39.748875+00:00,2020-10-07,041,036,1.66,0.9999999999999992,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20201007_20220526_02_T1/LC08_L2SP_041036_20201007_20220526_02_T1_ST_B10.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20201007_20220526_02_T1/LC08_L2SP_041036_20201007_20220526_02_T1_QA_PIXEL.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20201007_20220526_02_T1/LC08_L2SP_041036_20201007_20220526_02_T1_ST_QA.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20201007_20220526_02_T1/LC08_L2SP_041036_20201007_20220526_02_T1_ST_CDIST.TIF,https://landsateuwest.blob.core.windows.net/landsat-c2/level-2/standard/oli-tirs/2020/041/036/LC08_L2SP_041036_20201007_20220526_02_T1/LC08_L2SP_041036_20201007_20220526_02_T1_QA_RADSAT.TIF
