family,model_id,focus_joint_b1_or_m2,target_date,platform,tract_date_row_count,independent_spatial_block_count,exact_top_k,observed_positive_count,predicted_positive_count,true_positive_count,false_positive_count,false_negative_count,average_precision,precision_at_k,recall_at_k,false_negative_rate,analysis_config_semantic_sha256,compile_provenance_file_sha256,compile_provenance_commit_sha256,oof_predictions_sha256,model_dataset_provenance_file_sha256,model_dataset_commit_sha256,target_progress_sha256,model_ready_target_sha256,date_summary_sha256,development_model_table_sha256
temporal,B0,False,2020-05-16,landsat-8,1061,69,213,213,213,34,179,179,0.20075400565504242,0.1596244131455399,0.1596244131455399,0.8403755868544601,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2020-07-03,landsat-8,1073,70,215,215,215,127,88,88,0.20037278657968313,0.5906976744186047,0.5906976744186047,0.40930232558139534,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2020-07-19,landsat-8,1050,68,210,210,210,131,79,79,0.2,0.6238095238095238,0.6238095238095238,0.3761904761904762,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2020-08-20,landsat-8,1080,71,216,216,216,88,128,128,0.2,0.4074074074074074,0.4074074074074074,0.5925925925925926,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2020-09-05,landsat-8,1086,71,218,218,218,145,73,73,0.2007366482504604,0.6651376146788991,0.6651376146788991,0.3348623853211009,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2021-07-06,landsat-8,1068,66,214,214,214,92,122,122,0.20037453183520598,0.42990654205607476,0.42990654205607476,0.5700934579439252,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2021-08-07,landsat-8,1064,69,213,213,213,119,94,94,0.20018796992481203,0.5586854460093896,0.5586854460093896,0.4413145539906103,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2021-10-26,landsat-8,1094,71,219,219,219,2,217,217,0.20054945054945056,0.0091324200913242,0.0091324200913242,0.9908675799086758,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2022-05-30,landsat-9,1055,67,211,211,211,74,137,137,0.2,0.35071090047393366,0.35071090047393366,0.6492890995260664,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2022-06-15,landsat-9,1067,69,214,214,214,132,82,82,0.20056232427366447,0.616822429906542,0.616822429906542,0.38317757009345793,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2022-06-23,landsat-8,1059,69,212,212,212,129,83,83,0.20018885741265344,0.6084905660377359,0.6084905660377359,0.3915094339622642,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2022-07-01,landsat-9,1072,70,215,215,215,97,118,118,0.20055970149253732,0.4511627906976744,0.4511627906976744,0.5488372093023256,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
