family,model_id,focus_joint_b1_or_m2,tract_date_row_count,independent_date_count,independent_spatial_block_count,mean_per_date_average_precision,mean_per_date_precision_at_k,mean_per_date_recall_at_k,mean_per_date_false_negative_rate,analysis_config_semantic_sha256,compile_provenance_file_sha256,compile_provenance_commit_sha256,oof_predictions_sha256,model_dataset_provenance_file_sha256,model_dataset_commit_sha256,target_progress_sha256,model_ready_target_sha256,date_summary_sha256,development_model_table_sha256
temporal,B0,False,36139,34,71,0.20037669535061453,0.4772708596289381,0.4772708596289381,0.5227291403710619,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B1,False,36139,34,71,0.45429751009966984,0.4748580668367861,0.4748580668367861,0.5251419331632139,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B2,False,36139,34,71,0.6091769882990477,0.5746958219279084,0.5746958219279084,0.4253041780720918,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,M1,False,36139,34,71,0.6845027475125481,0.6296480273670493,0.6296480273670493,0.3703519726329509,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,M2,False,36139,34,71,0.7442508215431808,0.6635566676096426,0.6635566676096426,0.3364433323903574,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
spatial,B0,False,36139,34,71,0.1257018418469401,0.008063368924288236,0.008063368924288236,0.9919366310757117,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
spatial,B1,False,36139,34,71,0.43098070905520103,0.44826170901754836,0.44826170901754836,0.5517382909824516,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
spatial,B2,False,36139,34,71,0.5788274604809666,0.5638162382629113,0.5638162382629113,0.43618376173708867,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
spatial,M1,False,36139,34,71,0.6695257886358743,0.6265809840574409,0.6265809840574409,0.37341901594255916,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
spatial,M2,False,36139,34,71,0.8204461282696127,0.7500308990665516,0.7500308990665516,0.2499691009334482,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
