family,model_id,focus_joint_b1_or_m2,target_date,platform,tract_date_row_count,independent_spatial_block_count,mae_c,rmse_c,mean_signed_error_c,spearman_rho,spearman_defined,analysis_config_semantic_sha256,compile_provenance_file_sha256,compile_provenance_commit_sha256,oof_predictions_sha256,model_dataset_provenance_file_sha256,model_dataset_commit_sha256,target_progress_sha256,model_ready_target_sha256,date_summary_sha256,development_model_table_sha256
temporal,B0,False,2020-05-16,landsat-8,1061,69,4.139752502890146,4.674693046106054,-3.51828107755226,,False,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2020-07-03,landsat-8,1073,70,2.3587152680169825,3.165472449763809,1.2322608818525338,,False,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2020-07-19,landsat-8,1050,68,2.6909493342034017,3.4543770220037717,0.026116567897538082,,False,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2020-08-20,landsat-8,1080,71,3.7919500940826714,4.188452773480535,-3.413450857378209,,False,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2020-09-05,landsat-8,1086,71,7.776627392801204,8.41185927249268,-7.694440773524729,,False,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2020-09-21,landsat-8,1007,65,1.8353991179383933,2.458003036192516,1.6124564951855003,,False,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2020-10-07,landsat-8,967,66,1.8978858318145644,2.32553520663057,-0.975394070762822,,False,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2021-05-03,landsat-8,1019,64,2.566936781976633,3.049784336240635,-1.7228009914052278,,False,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2021-06-04,landsat-8,953,61,2.012414804254543,2.6920600451989025,1.1854525040473782,,False,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
temporal,B0,False,2021-06-20,landsat-8,993,62,2.1920401020684297,3.1334183683936465,1.226743115458893,,False,3b188221263ad4673846ce5170fa622b5395e51a4aaa750114e1793d3986975b,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,1eafe424a4c718d6a3b18cff938036f958858c70b344740788993b119bfbb04b,9c2f903993167fc2a228b3cfe60a23fe33f57f252bae6299458338cb8eb967ad,3f630dfcc8a1c2a19b093e7fe0f4bdc7f830fef42266fcf1156112f0eb959046,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,2c6d6a597c6b1b321c4f632291c22dfe5788a058fe82fd65114a5a59d5d0be83,3a365f5dd3e9d410585a34695bb444d67b220c4b40a9348288a540078bc27f75
