cohort_dimension,cohort_label,baseline_model_id,target_model_id,bootstrap_method,bootstrap_sampling_unit,bootstrap_estimand,complete_date_resampling,complete_spatial_block_resampling,date_and_block_draws_independent,bootstrap_seed,bootstrap_replicates,confidence_level,percentile_interval_method,paired_models_share_every_cluster_draw,random_row_sampling_used,empty_crossed_replicate_redraw_count,zero_observation_sampled_date_draw_count,date_block_cell_count,independent_date_count,independent_spatial_block_count,tract_date_row_count,baseline_point_mae_c,target_model_point_mae_c,absolute_mae_improvement_c,absolute_mae_improvement_ci_lower_c,absolute_mae_improvement_ci_upper_c,relative_mae_improvement_fraction,relative_mae_improvement_percent,relative_mae_improvement_ci_lower_fraction,relative_mae_improvement_ci_upper_fraction,relative_mae_improvement_ci_lower_percent,relative_mae_improvement_ci_upper_percent,probability_improvement_gt_zero,probability_relative_improvement_gt_10_percent
all,all_rows,B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260723,5000,0.95,linear,True,False,0,0,4202,65,71,63403,2.516141406743445,2.108787916748636,0.4073534899948088,0.09178076985803657,0.7132308814674023,0.16189610365421886,16.189610365421885,0.037580069672355707,0.2742548528153056,3.7580069672355707,27.42548528153056,0.995,0.8422
median_cloud_distance_km,"[1.0,2.0)",B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260724,5000,0.95,linear,True,False,0,384,1009,65,68,5112,3.022578262175181,2.408424690747083,0.6141535714280977,0.1682827188780869,1.25577338236622,0.20318864166849585,20.318864166849586,0.05927102569050273,0.36008807431563966,5.927102569050273,36.008807431563966,0.9972,0.918
median_cloud_distance_km,"[2.0,5.0)",B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260725,5000,0.95,linear,True,False,0,4,1613,65,71,13828,2.788997711419881,2.1477385133288305,0.6412591980910505,0.26020200902433005,1.1108367448509489,0.22992460533952352,22.992460533952354,0.09768721182267631,0.365602760850119,9.768721182267631,36.5602760850119,0.9992,0.9736
median_cloud_distance_km,"[5.0,inf)",B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260726,5000,0.95,linear,True,False,0,2,3130,65,71,44463,2.4448257539407994,2.0641794519133225,0.38064630202747685,0.049791701515469404,0.6901663628554231,0.15569465489060538,15.569465489060539,0.02103420261094523,0.2730225839627018,2.103420261094523,27.30225839627018,0.9882,0.8122
relative_endpoint_gate,relative_label_available,B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260727,5000,0.95,linear,True,False,0,0,2336,34,71,36139,2.6088436037406417,2.132740626195589,0.47610297754505293,0.11005530067120546,0.8453763921954854,0.1824957911859498,18.24957911859498,0.042666838796412254,0.3147712724652251,4.266683879641225,31.477127246522514,0.995,0.87
relative_endpoint_gate,relative_label_unavailable,B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260728,5000,0.95,linear,True,False,0,0,1866,31,71,27264,2.414468029391681,2.082517203161656,0.3319508262300248,-0.16331245855268137,0.8279493578564762,0.13748404293995103,13.748404293995103,-0.07055497887597738,0.32084033158307407,-7.055497887597737,32.084033158307406,0.9106,0.6586
scene_cloud_metadata,any_scene_cloud_lt_15pct,B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260729,5000,0.95,linear,True,False,0,0,3899,60,71,59110,2.5430314149970017,2.1472718961617696,0.3957595188352321,0.07175805062253585,0.7180384014104326,0.15562510022539328,15.562510022539328,0.02895107134298527,0.2734078587379477,2.895107134298527,27.340785873794772,0.9902,0.8122
scene_cloud_metadata,no_scene_cloud_lt_15pct,B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260730,5000,0.95,linear,True,False,0,0,303,5,70,4293,2.193461307700765,1.6469801637910357,0.5464811439097292,0.10736771512038655,1.0865228005565828,0.24914100011299628,24.914100011299627,0.05770656626282707,0.3836257233876635,5.770656626282707,38.36257233876635,0.9924,0.9462
sentinel_availability,all_five_missing,B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260731,5000,0.95,linear,True,False,0,5927,60,12,29,168,3.3162777169903492,2.7620140846948247,0.5542636322955246,-1.2699718384121497,2.23922091870315,0.16713426304915752,16.713426304915753,-0.5951314094798483,0.5331881952809464,-59.51314094798483,53.31881952809464,0.7786,0.6774
sentinel_availability,complete,B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260732,5000,0.95,linear,True,False,0,0,4202,65,71,63235,2.5164074970370383,2.107874873633016,0.4085326234040223,0.10980513507626267,0.722611852950752,0.16234756250132457,16.234756250132456,0.04408784539629812,0.27737502538479764,4.408784539629812,27.737502538479763,0.9946,0.862
st_qa_2k,tract_median_gt_2k,B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260733,5000,0.95,linear,True,False,0,0,3246,65,71,43855,2.6156320262680604,2.129968501480432,0.4856635247876282,0.15990017867874867,0.8203474276918985,0.1856773123704884,18.56773123704884,0.0641444916297966,0.2978162951565402,6.41444916297966,29.781629515654018,0.9986,0.9124
st_qa_2k,tract_median_le_2k,B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260734,5000,0.95,linear,True,False,0,2053,1523,53,71,19548,2.3791863308668777,2.168372385376709,0.21081394549016874,-0.21835752884853196,0.6643072650558655,0.08860758098478012,8.860758098478012,-0.09822621572136228,0.2641331350022926,-9.822621572136228,26.413313500229258,0.8404,0.4756
valid_fraction,"[0.60,0.70)",B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260735,5000,0.95,linear,True,False,0,15146,353,63,58,447,3.9398135687953135,2.6010472095482213,1.3387663592470922,0.6663486376165382,2.528650219374138,0.33980449477370833,33.98044947737083,0.19807974509365722,0.5180862432308475,19.80797450936572,51.80862432308475,1.0,0.9992
valid_fraction,"[0.70,0.80)",B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260736,5000,0.95,linear,True,False,0,13351,369,62,54,529,3.75845969276214,2.524949231616285,1.2335104611458547,0.5554478432559273,2.3598667352287834,0.32819574027128445,32.819574027128446,0.17333047219317935,0.5094882246600624,17.333047219317933,50.94882246600624,1.0,0.997
valid_fraction,"[0.80,0.90)",B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260737,5000,0.95,linear,True,False,0,15853,451,65,60,649,3.792894402129929,2.4619781954777737,1.3309162066521552,0.4728402391616912,2.661788159238481,0.3508972477337542,35.08972477337542,0.15764217639333258,0.5397856164642181,15.764217639333259,53.97856164642181,0.9998,0.9938
valid_fraction,"[0.90,1.00]",B1,M2,crossed_date_spatial_block,complete_clusters_only,equal_date_weighted_mae_with_row_weighting_within_date,True,True,True,20260738,5000,0.95,linear,True,False,0,0,4127,65,71,61778,2.487874113094912,2.099527552023285,0.3883465610716268,0.07018070972363696,0.7028739917772773,0.15609574416469338,15.609574416469338,0.029045615436164282,0.2735505411762969,2.904561543616428,27.35505411762969,0.9918,0.8216
