cohort_dimension,cohort_label,baseline_model_id,target_model_id,tract_date_row_count,independent_date_count,independent_spatial_block_count,baseline_primary_mae_c,target_primary_mae_c,absolute_mae_improvement_c,relative_mae_improvement_fraction,relative_mae_improvement_percent
all,all_rows,B1,M2,63403,65,71,2.516141406743445,2.108787916748636,0.4073534899948088,0.16189610365421886,16.189610365421885
median_cloud_distance_km,"[1.0,2.0)",B1,M2,5112,65,68,3.0225782621751813,2.408424690747083,0.6141535714280981,0.20318864166849596,20.318864166849597
median_cloud_distance_km,"[2.0,5.0)",B1,M2,13828,65,71,2.7889977114198814,2.1477385133288305,0.6412591980910509,0.22992460533952366,22.992460533952368
median_cloud_distance_km,"[5.0,inf)",B1,M2,44463,65,71,2.4448257539407994,2.0641794519133225,0.38064630202747685,0.15569465489060538,15.569465489060539
relative_endpoint_gate,relative_label_available,B1,M2,36139,34,71,2.608843603740642,2.132740626195589,0.4761029775450534,0.18249579118594994,18.249579118594994
relative_endpoint_gate,relative_label_unavailable,B1,M2,27264,31,71,2.414468029391681,2.082517203161656,0.3319508262300248,0.13748404293995103,13.748404293995103
scene_cloud_metadata,any_scene_cloud_lt_15pct,B1,M2,59110,60,71,2.5430314149970017,2.1472718961617696,0.3957595188352321,0.15562510022539328,15.562510022539328
scene_cloud_metadata,no_scene_cloud_lt_15pct,B1,M2,4293,5,70,2.193461307700765,1.6469801637910357,0.5464811439097292,0.24914100011299628,24.914100011299627
sentinel_availability,all_five_missing,B1,M2,168,12,29,3.3162777169903492,2.7620140846948247,0.5542636322955246,0.16713426304915752,16.713426304915753
sentinel_availability,complete,B1,M2,63235,65,71,2.5164074970370383,2.107874873633016,0.4085326234040223,0.16234756250132457,16.234756250132456
st_qa_2k,tract_median_gt_2k,B1,M2,43855,65,71,2.6156320262680604,2.129968501480432,0.4856635247876282,0.1856773123704884,18.56773123704884
st_qa_2k,tract_median_le_2k,B1,M2,19548,53,71,2.3791863308668773,2.168372385376709,0.2108139454901683,0.08860758098477996,8.860758098477996
valid_fraction,"[0.60,0.70)",B1,M2,447,63,58,3.9398135687953135,2.6010472095482213,1.3387663592470922,0.33980449477370833,33.98044947737083
valid_fraction,"[0.70,0.80)",B1,M2,529,62,54,3.75845969276214,2.524949231616285,1.2335104611458547,0.32819574027128445,32.819574027128446
valid_fraction,"[0.80,0.90)",B1,M2,649,65,60,3.792894402129929,2.4619781954777737,1.3309162066521552,0.3508972477337542,35.08972477337542
valid_fraction,"[0.90,1.00]",B1,M2,61778,65,71,2.487874113094912,2.0995275520232846,0.38834656107162724,0.15609574416469355,15.609574416469355
