cohort_dimension,cohort_label,model_id,tract_date_row_count,independent_date_count,independent_spatial_block_count,minimum_rows_per_date,median_rows_per_date,maximum_rows_per_date,primary_equal_date_weighted_mae_c,equal_date_weighted_rmse_c,pooled_rmse_c,equal_date_weighted_bias_c,median_per_date_spearman,spearman_defined_date_count,spearman_undefined_date_count
all,all_rows,B1,63403,65,71,592,1034.0,1094,2.516141406743445,3.0773326063030364,3.2493356350255174,0.012647178897087242,0.3830801610764214,65,0
all,all_rows,M2,63403,65,71,592,1034.0,1094,2.108787916748636,2.452915244650105,2.7958891841585185,0.07826839172845149,0.792785472915799,65,0
median_cloud_distance_km,"[1.0,2.0)",B1,5112,65,68,10,43.0,261,3.0225782621751813,3.664533754094146,3.5020867498636674,1.2471418924611308,-0.12500770891150167,65,0
median_cloud_distance_km,"[1.0,2.0)",M2,5112,65,68,10,43.0,261,2.408424690747083,2.8160003349836495,2.8139499858769725,0.5168961186767935,0.6276681584713381,65,0
median_cloud_distance_km,"[2.0,5.0)",B1,13828,65,71,47,162.0,588,2.7889977114198814,3.4476713247451043,3.2468043102265223,0.9855998352794284,-0.08735635557632018,65,0
median_cloud_distance_km,"[2.0,5.0)",M2,13828,65,71,47,162.0,588,2.1477385133288305,2.519001891418614,2.5884450699195134,0.28394490855815957,0.7184890653296182,65,0
median_cloud_distance_km,"[5.0,inf)",B1,44463,65,71,56,791.0,1024,2.4448257539407994,2.9308004661413753,3.2197988276999148,-0.3130334451940242,0.29218249843913535,65,0
median_cloud_distance_km,"[5.0,inf)",M2,44463,65,71,56,791.0,1024,2.0641794519133225,2.3728095724048206,2.8552966078374826,-0.10648794228594892,0.7677169013503953,65,0
relative_endpoint_gate,relative_label_available,B1,36139,34,71,976,1063.5,1094,2.608843603740642,3.198855869872682,3.321825458857767,-0.57192244053206,0.37890736822707216,34,0
relative_endpoint_gate,relative_label_available,M2,36139,34,71,976,1063.5,1094,2.132740626195589,2.499205567736087,2.8071505713735165,-0.40262993596239255,0.8252394970470154,34,0
relative_endpoint_gate,relative_label_unavailable,B1,27264,31,71,592,936.0,1034,2.414468029391681,2.9440490269040707,3.1506793574167755,0.6537880518193778,0.40316722159729074,31,0
relative_endpoint_gate,relative_label_unavailable,M2,27264,31,71,592,936.0,1034,2.082517203161656,2.4021452128783825,2.7808916944385986,0.6057052672603447,0.7636429674112701,31,0
scene_cloud_metadata,any_scene_cloud_lt_15pct,B1,59110,60,71,592,1039.5,1094,2.5430314149970017,3.1044649009996927,3.2718997125135005,-0.06009559696312647,0.39662845368287386,60,0
scene_cloud_metadata,any_scene_cloud_lt_15pct,M2,59110,60,71,592,1039.5,1094,2.1472718961617696,2.487076876440655,2.8389018240286306,-0.03588302144280748,0.7931657095019107,60,0
scene_cloud_metadata,no_scene_cloud_lt_15pct,B1,4293,5,70,707,849.0,1054,2.193461307700765,2.7517450699431616,2.920983455285321,0.8855604892196514,0.3457329818281557,5,0
scene_cloud_metadata,no_scene_cloud_lt_15pct,M2,4293,5,70,707,849.0,1054,1.6469801637910357,2.042975663163505,2.1165679174246392,1.4480853497835582,0.7839082205110972,5,0
sentinel_availability,all_five_missing,B1,168,12,29,1,5.0,108,3.3162777169903492,3.4877566901192405,3.030474361584639,-1.2883877837848383,0.5666666666666667,9,3
sentinel_availability,all_five_missing,M2,168,12,29,1,5.0,108,2.7620140846948247,2.93049731269693,2.5895138166330876,0.6686024912356846,0.5,9,3
sentinel_availability,complete,B1,63235,65,71,592,1026.0,1092,2.5164074970370383,3.07747266276355,3.2498974652136603,0.013066713567135964,0.3823264070036402,65,0
sentinel_availability,complete,M2,63235,65,71,592,1026.0,1092,2.107874873633016,2.451701299769283,2.7964171877425765,0.0771970040709468,0.7907925604897894,65,0
st_qa_2k,tract_median_gt_2k,B1,43855,65,71,186,743.0,1085,2.6156320262680604,3.2099333234666716,3.308825289631651,0.37661137511903325,0.263148390019985,65,0
st_qa_2k,tract_median_gt_2k,M2,43855,65,71,186,743.0,1085,2.129968501480432,2.4926400955508847,2.748267307911598,0.20112235072190152,0.7661441731403165,65,0
st_qa_2k,tract_median_le_2k,B1,19548,53,71,1,266.0,886,2.3791863308668773,2.7830029476308797,3.111738353232903,0.013609438621022625,0.1433210140885617,52,1
st_qa_2k,tract_median_le_2k,M2,19548,53,71,1,266.0,886,2.168372385376709,2.405948004147657,2.8998826809069924,-0.0403875477014831,0.7452624174032721,52,1
valid_fraction,"[0.60,0.70)",B1,447,63,58,1,5.0,27,3.9398135687953135,4.532430816915482,4.48198574493556,2.370497114868579,-0.14285714285714288,57,6
valid_fraction,"[0.60,0.70)",M2,447,63,58,1,5.0,27,2.6010472095482213,2.927031268994819,3.0461952279524582,0.9995047635271928,0.7999999999999999,57,6
valid_fraction,"[0.70,0.80)",B1,529,62,54,1,6.0,36,3.75845969276214,4.298104232234554,4.295443506245605,2.6829696273738355,-0.3106295149638803,61,1
valid_fraction,"[0.70,0.80)",M2,529,62,54,1,6.0,36,2.524949231616285,2.835339404855871,3.0341878195915344,1.1991444047582402,0.7166666666666667,61,1
valid_fraction,"[0.80,0.90)",B1,649,65,60,1,7.0,37,3.792894402129929,4.389490294220711,4.2654272023750375,2.2424391563350787,-0.2678571428571429,58,7
valid_fraction,"[0.80,0.90)",M2,649,65,60,1,7.0,37,2.4619781954777737,2.746113983650042,2.9114690481019743,0.8317890969567484,0.7927425053505975,58,7
valid_fraction,"[0.90,1.00]",B1,61778,65,71,547,1012.0,1084,2.487874113094912,3.0293096973028915,3.2158089285581353,-0.03656506972058896,0.37368766308926676,65,0
valid_fraction,"[0.90,1.00]",M2,61778,65,71,547,1012.0,1084,2.0995275520232846,2.4384263817829646,2.790625250908842,0.05812230549754677,0.7900326414919668,65,0
