family,model_id,row_count,independent_date_count,independent_spatial_block_count,primary_equal_date_weighted_mae_c,pooled_rmse_c,pooled_oos_r2,pooled_mean_signed_error_c,equal_date_weighted_mean_signed_error_c,equal_date_weighted_within_date_anomaly_mae_c,median_per_date_spearman,spearman_defined_date_count,spearman_undefined_date_count,model_role,strongest_legal_baseline_model_id,strongest_legal_baseline_primary_mae_c,absolute_mae_improvement_vs_strongest_baseline_c,relative_mae_improvement_vs_strongest_baseline_fraction,relative_mae_improvement_vs_strongest_baseline_percent,is_strongest_legal_baseline,selected_for_joint_bootstrap,tract_date_row_count,input_oof_sha256,input_summary_metrics_sha256,input_compile_provenance_file_sha256,input_compile_provenance_commit_sha256,analysis_config_semantic_sha256
temporal,B0,63403,65,71,3.162010622542439,4.219438471277287,0.4863336556750848,-0.1812379137038688,-0.0485020519206094,2.0107374694879447,-0.0230370207423095,1,64,legal_baseline,B1,2.458270254755744,-0.7037403677866951,-0.28627461379612207,-28.627461379612207,False,False,63403,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
temporal,B1,63403,65,71,2.458270254755744,3.1637924299424816,0.711206270008524,-0.026515455738801,0.0850733469490813,1.824938611555473,0.4910050692662085,65,0,legal_baseline,B1,2.458270254755744,0.0,0.0,0.0,True,False,63403,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
temporal,B2,63403,65,71,2.820060418996089,3.771870252358053,0.5895263481593531,-0.2087637697173762,-0.052720214565247,1.335590679273582,0.7761214206525573,65,0,legal_baseline,B1,2.458270254755744,-0.3617901642403454,-0.1471726566842803,-14.71726566842803,False,False,63403,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
temporal,M1,63403,65,71,2.048822893055569,2.626394192195405,0.8009823409246366,-0.1022563582312876,0.0116633010593102,1.2106967207546735,0.8068158185254328,65,0,candidate_model,B1,2.458270254755744,0.4094473617001748,0.16655913275119458,16.655913275119456,False,False,63403,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
temporal,M2,63403,65,71,1.962734670347925,2.6335679263152825,0.7998936623207382,-0.0378648040700748,0.0781264988478801,1.0149425301932886,0.8832969088373077,65,0,candidate_model,B1,2.458270254755744,0.49553558440781886,0.20157896937863562,20.157896937863562,False,False,63403,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
spatial,B0,63403,65,71,3.059595040873345,4.099908073133918,0.5150242388717973,-0.129523196923287,-0.0056673640785302,2.0351589717098766,-0.7117702097151521,65,0,legal_baseline,B1,2.1764600367003086,-0.8831350041730364,-0.4057666988050657,-40.57666988050657,False,False,63403,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
spatial,B1,63403,65,71,2.1764600367003086,2.834287449346744,0.7682287397669845,-0.0893321511282697,-0.021734496233522,1.8367310239272925,0.4382287657081058,65,0,legal_baseline,B1,2.1764600367003086,0.0,0.0,0.0,True,False,63403,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
spatial,B2,63403,65,71,2.713481984443653,3.6372836842322234,0.6182964985383711,-0.1524271220756719,-0.0072509344885848,1.3843108613759187,0.7484361423408795,65,0,legal_baseline,B1,2.1764600367003086,-0.5370219477433444,-0.24674101002907162,-24.67410100290716,False,False,63403,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
spatial,M1,63403,65,71,1.6835548928132524,2.193613206721473,0.8611672586638968,-0.0829941397809527,-0.0100843354437731,1.2071023803269694,0.8029265774859222,65,0,candidate_model,B1,2.1764600367003086,0.4929051438870562,0.22647102890726203,22.647102890726202,False,False,63403,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
spatial,M2,63403,65,71,0.8423174855653395,1.179069892733232,0.9598901632216892,-0.0044664139510799,0.0059767404265722,0.8370542771493246,0.8809108788656328,65,0,candidate_model,B1,2.1764600367003086,1.3341425511349692,0.6129873871507598,61.298738715075984,False,False,63403,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,08f2aeb73c59033cb6256389374254b7bf216b05727372e7a77324c26b5aed05,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,31785bb690f6197b4123966acec88138d8c458f4370905446bcd7212a7c37d2d
