family,model_id,tract_geoid,spatial_block,observed_date_count,mean_residual_c,mean_absolute_error_c,root_mean_squared_error_c,mean_observed_lst_c,mean_predicted_lst_c,authenticated_tract_date_row_count,authenticated_independent_date_count,authenticated_spatial_block_count,input_oof_predictions_sha256,input_compile_provenance_file_sha256,input_compile_provenance_commit_sha256,input_target_manifest_sha256,input_tract_manifest_sha256,input_tract_manifest_semantic_sha256,input_split_provenance_file_sha256,input_split_provenance_commit_sha256,input_split_promotion_file_sha256,input_split_promotion_commit_sha256,diagnostic_config_semantic_sha256
joint,B1,06037101110,x+0031_y-0084,64,0.9532206081604164,2.0620222185368475,2.6589319080307354,43.200184582343766,44.15340519050418,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,fbdcd5b6e3a6d5f55d972a1f19178b453d753e3f9b3878c8074c1972eb0f68bd,73fde5df7372404a0b4700981b612c0ded5a2c3d5edaa3fc88d4fa2626c440b0,8b03a143c11e1df85f7916627011f95b6c4d33edea7b81e530abbd2a0801498f,4a2a0bee89a87bae9c98e35a480606171d570ccaa743355fa0d3639d68fee213,055cda0b265c98e7fccad08c1d5772132c101ad342230c7ae609fcd6f818fcdb,6a72169db012cf8c12aeecde573275e23205363608e60d4cde616a681fa08fcc,4fb61a5f38588633d7f462b2ef852457b07882162f1d26cada21fc731ece59e2
joint,B1,06037101122,x+0031_y-0084,63,3.9256637328891903,4.225406808372489,4.80156115822705,40.291918777142875,44.217582510032074,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,fbdcd5b6e3a6d5f55d972a1f19178b453d753e3f9b3878c8074c1972eb0f68bd,73fde5df7372404a0b4700981b612c0ded5a2c3d5edaa3fc88d4fa2626c440b0,8b03a143c11e1df85f7916627011f95b6c4d33edea7b81e530abbd2a0801498f,4a2a0bee89a87bae9c98e35a480606171d570ccaa743355fa0d3639d68fee213,055cda0b265c98e7fccad08c1d5772132c101ad342230c7ae609fcd6f818fcdb,6a72169db012cf8c12aeecde573275e23205363608e60d4cde616a681fa08fcc,4fb61a5f38588633d7f462b2ef852457b07882162f1d26cada21fc731ece59e2
joint,B1,06037101220,x+0031_y-0084,64,0.5392759852377083,1.8636624504059758,2.639945192084119,43.41450511765627,43.95378110289398,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,fbdcd5b6e3a6d5f55d972a1f19178b453d753e3f9b3878c8074c1972eb0f68bd,73fde5df7372404a0b4700981b612c0ded5a2c3d5edaa3fc88d4fa2626c440b0,8b03a143c11e1df85f7916627011f95b6c4d33edea7b81e530abbd2a0801498f,4a2a0bee89a87bae9c98e35a480606171d570ccaa743355fa0d3639d68fee213,055cda0b265c98e7fccad08c1d5772132c101ad342230c7ae609fcd6f818fcdb,6a72169db012cf8c12aeecde573275e23205363608e60d4cde616a681fa08fcc,4fb61a5f38588633d7f462b2ef852457b07882162f1d26cada21fc731ece59e2
joint,B1,06037101221,x+0031_y-0084,63,-0.29292436531539867,1.848204598466023,2.5159188232282093,44.545292014285735,44.252367648970335,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,fbdcd5b6e3a6d5f55d972a1f19178b453d753e3f9b3878c8074c1972eb0f68bd,73fde5df7372404a0b4700981b612c0ded5a2c3d5edaa3fc88d4fa2626c440b0,8b03a143c11e1df85f7916627011f95b6c4d33edea7b81e530abbd2a0801498f,4a2a0bee89a87bae9c98e35a480606171d570ccaa743355fa0d3639d68fee213,055cda0b265c98e7fccad08c1d5772132c101ad342230c7ae609fcd6f818fcdb,6a72169db012cf8c12aeecde573275e23205363608e60d4cde616a681fa08fcc,4fb61a5f38588633d7f462b2ef852457b07882162f1d26cada21fc731ece59e2
joint,B1,06037101222,x+0031_y-0084,64,-0.29342393192687194,1.8199854757016767,2.501510810739315,44.31192229062501,44.01849835869814,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,fbdcd5b6e3a6d5f55d972a1f19178b453d753e3f9b3878c8074c1972eb0f68bd,73fde5df7372404a0b4700981b612c0ded5a2c3d5edaa3fc88d4fa2626c440b0,8b03a143c11e1df85f7916627011f95b6c4d33edea7b81e530abbd2a0801498f,4a2a0bee89a87bae9c98e35a480606171d570ccaa743355fa0d3639d68fee213,055cda0b265c98e7fccad08c1d5772132c101ad342230c7ae609fcd6f818fcdb,6a72169db012cf8c12aeecde573275e23205363608e60d4cde616a681fa08fcc,4fb61a5f38588633d7f462b2ef852457b07882162f1d26cada21fc731ece59e2
joint,B1,06037101300,x+0031_y-0084,58,2.7622061868277776,3.1725306355515333,3.9024254640845077,41.684757717758636,44.44696390458641,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,fbdcd5b6e3a6d5f55d972a1f19178b453d753e3f9b3878c8074c1972eb0f68bd,73fde5df7372404a0b4700981b612c0ded5a2c3d5edaa3fc88d4fa2626c440b0,8b03a143c11e1df85f7916627011f95b6c4d33edea7b81e530abbd2a0801498f,4a2a0bee89a87bae9c98e35a480606171d570ccaa743355fa0d3639d68fee213,055cda0b265c98e7fccad08c1d5772132c101ad342230c7ae609fcd6f818fcdb,6a72169db012cf8c12aeecde573275e23205363608e60d4cde616a681fa08fcc,4fb61a5f38588633d7f462b2ef852457b07882162f1d26cada21fc731ece59e2
joint,B1,06037101400,x+0031_y-0084,62,4.524798572684661,4.904974031900476,5.649508883296586,39.69243035919357,44.21722893187823,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,fbdcd5b6e3a6d5f55d972a1f19178b453d753e3f9b3878c8074c1972eb0f68bd,73fde5df7372404a0b4700981b612c0ded5a2c3d5edaa3fc88d4fa2626c440b0,8b03a143c11e1df85f7916627011f95b6c4d33edea7b81e530abbd2a0801498f,4a2a0bee89a87bae9c98e35a480606171d570ccaa743355fa0d3639d68fee213,055cda0b265c98e7fccad08c1d5772132c101ad342230c7ae609fcd6f818fcdb,6a72169db012cf8c12aeecde573275e23205363608e60d4cde616a681fa08fcc,4fb61a5f38588633d7f462b2ef852457b07882162f1d26cada21fc731ece59e2
joint,B1,06037102103,x+0030_y-0084,64,1.3590906578332542,2.4031204823513153,3.110807664230549,42.95283208812502,44.31192274595827,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,fbdcd5b6e3a6d5f55d972a1f19178b453d753e3f9b3878c8074c1972eb0f68bd,73fde5df7372404a0b4700981b612c0ded5a2c3d5edaa3fc88d4fa2626c440b0,8b03a143c11e1df85f7916627011f95b6c4d33edea7b81e530abbd2a0801498f,4a2a0bee89a87bae9c98e35a480606171d570ccaa743355fa0d3639d68fee213,055cda0b265c98e7fccad08c1d5772132c101ad342230c7ae609fcd6f818fcdb,6a72169db012cf8c12aeecde573275e23205363608e60d4cde616a681fa08fcc,4fb61a5f38588633d7f462b2ef852457b07882162f1d26cada21fc731ece59e2
joint,B1,06037102104,x+0030_y-0085,64,1.896627922598134,2.615483123991102,3.3329848273115625,42.29342126093752,44.190049183535656,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,fbdcd5b6e3a6d5f55d972a1f19178b453d753e3f9b3878c8074c1972eb0f68bd,73fde5df7372404a0b4700981b612c0ded5a2c3d5edaa3fc88d4fa2626c440b0,8b03a143c11e1df85f7916627011f95b6c4d33edea7b81e530abbd2a0801498f,4a2a0bee89a87bae9c98e35a480606171d570ccaa743355fa0d3639d68fee213,055cda0b265c98e7fccad08c1d5772132c101ad342230c7ae609fcd6f818fcdb,6a72169db012cf8c12aeecde573275e23205363608e60d4cde616a681fa08fcc,4fb61a5f38588633d7f462b2ef852457b07882162f1d26cada21fc731ece59e2
joint,B1,06037102105,x+0030_y-0085,64,-0.8027634061415887,2.1047424588310433,2.8239748091432046,45.10508985359377,44.30232644745218,63403,65,71,0c06b88fd09cd514745b699e6b6a7e12901db8d3247e42b582feaf1f7e91c04a,55416c987a2d25f9177dd974307ae595761c1db31ecaa9d7561fb6c42d4d5e7c,00d1e59ce78baffbf9d24361ac8ba16a1d577b22cb193e15596627259190ed07,11f4fe862570895441036964a9b308e92c2ee6ba8a87b5da9009ffd5208a4bda,fbdcd5b6e3a6d5f55d972a1f19178b453d753e3f9b3878c8074c1972eb0f68bd,73fde5df7372404a0b4700981b612c0ded5a2c3d5edaa3fc88d4fa2626c440b0,8b03a143c11e1df85f7916627011f95b6c4d33edea7b81e530abbd2a0801498f,4a2a0bee89a87bae9c98e35a480606171d570ccaa743355fa0d3639d68fee213,055cda0b265c98e7fccad08c1d5772132c101ad342230c7ae609fcd6f818fcdb,6a72169db012cf8c12aeecde573275e23205363608e60d4cde616a681fa08fcc,4fb61a5f38588633d7f462b2ef852457b07882162f1d26cada21fc731ece59e2
