evidence_id,domain,estimate_name,estimate_value,unit,ci_lower,ci_upper,baseline_model_id,target_model_id,tract_date_row_count,independent_date_count,independent_spatial_block_count,interpretation,source,source_commit_sha256
primary_joint_relative_mae_improvement,primary_performance,relative_mae_improvement,16.189610365421885,percent,4.2087762405325595,27.688261874662324,B1,M2,63403.0,65.0,71.0,primary_predeclared_crossed_date_by_block_interval,initial_results,d8bfaf258590d2ef42abe37a73fb92eeba3d66d61f23fd5f85b8e8c5616844c4
qa_all_rows_relative_mae_improvement_rerun,qa_sensitivity,relative_mae_improvement,16.189610365421885,percent,3.7580069672355707,27.42548528153056,B1,M2,63403.0,65.0,71.0,separate_fixed_seed_qa_rerun_not_the_primary_interval,qa,938a837cde8f49785e708e7960a4bca680ad851007a142189dbf4f3ac640ef8e
hotspot_mean_per_date_ap_b1,relative_hotspot,mean_per_date_average_precision,0.39768294670302057,fraction,,,,B1,36139.0,34.0,71.0,relative_endpoint_only_on_predeclared_coverage_gate_dates,endpoint,2ec9540ca7817dd53802e5849a35a8499b7f0755c7057b3c3b4292183475881a
hotspot_mean_per_date_ap_m2,relative_hotspot,mean_per_date_average_precision,0.666948801314471,fraction,,,,M2,36139.0,34.0,71.0,relative_endpoint_only_on_predeclared_coverage_gate_dates,endpoint,2ec9540ca7817dd53802e5849a35a8499b7f0755c7057b3c3b4292183475881a
sensor_landsat-8_relative_mae_improvement,sensor_sensitivity,relative_mae_improvement,14.658396264861054,percent,,,B1,M2,40578.0,41.0,71.0,sensor_stratified_development_oof_association,endpoint,2ec9540ca7817dd53802e5849a35a8499b7f0755c7057b3c3b4292183475881a
sensor_landsat-9_relative_mae_improvement,sensor_sensitivity,relative_mae_improvement,18.51668421924239,percent,,,B1,M2,22825.0,24.0,71.0,sensor_stratified_development_oof_association,endpoint,2ec9540ca7817dd53802e5849a35a8499b7f0755c7057b3c3b4292183475881a
tract_summary_stqa_le2k_improvement,qa_sensitivity,relative_mae_improvement,8.860758098478012,percent,-9.822621572136228,26.413313500229258,B1,M2,19548.0,53.0,71.0,tract_median_summary_filter_not_pixel_level_reaggregation,qa,938a837cde8f49785e708e7960a4bca680ad851007a142189dbf4f3ac640ef8e
sentinel_all_missing_improvement,qa_sensitivity,relative_mae_improvement,16.713426304915753,percent,-59.51314094798483,53.31881952809464,B1,M2,168.0,12.0,29.0,exploratory_sparse_group_wide_uncertainty,qa,938a837cde8f49785e708e7960a4bca680ad851007a142189dbf4f3ac640ef8e
mean_date_morans_i_b1,residual_spatial,mean_morans_i_across_dates,0.6390902878287358,index,,,,B1,,65.0,,exploratory_unadjusted_spatial_clustering_limitation,residual_spatial,44047f7c9dd72135ab93d06bb4dc31144772ea012de98ba117768a185fdccc30
mean_date_morans_i_m2,residual_spatial,mean_morans_i_across_dates,0.5743548367967237,index,,,,M2,,65.0,,exploratory_unadjusted_spatial_clustering_limitation,residual_spatial,44047f7c9dd72135ab93d06bb4dc31144772ea012de98ba117768a185fdccc30
ablation_all_features_vs_calendar_weather,feature_ablation,all_features_relative_mae_improvement_over_reduced_refit,17.786682545362808,percent,9.619113683185661,25.820290402088048,,M2,63403.0,65.0,71.0,predictive_association_not_causal_feature_importance,feature_ablation,31afec41abc3448f9732567ad671d73938d5a620f0adc7d2421cb690edc76ae1
ablation_all_features_vs_calendar_land_use_geography,feature_ablation,all_features_relative_mae_improvement_over_reduced_refit,37.08947487371791,percent,25.333712142731684,46.89522131595536,,M2,63403.0,65.0,71.0,predictive_association_not_causal_feature_importance,feature_ablation,31afec41abc3448f9732567ad671d73938d5a620f0adc7d2421cb690edc76ae1
ablation_all_features_vs_calendar_satellite,feature_ablation,all_features_relative_mae_improvement_over_reduced_refit,41.65278126286272,percent,31.97400823421254,50.171233281011006,,M2,63403.0,65.0,71.0,predictive_association_not_causal_feature_importance,feature_ablation,31afec41abc3448f9732567ad671d73938d5a620f0adc7d2421cb690edc76ae1
strict_pixel_stqa2_frozen_oof_improvement,pixel_level_stqa_sensitivity,relative_mae_improvement,17.770188478247352,percent,-5.206779101142935,39.58636061364487,B1,M2,11808.0,15.0,71.0,strict_pixel_hard_mask_existing_oof_no_refit,stqa2_sensitivity,71b9b5fd3b0768086852f0fa8d9fcd834d8719778a93f5d65ef6e1a8dfe46021
diagnostic_figure_count,reporting,authenticated_figure_count,4.0,count,,,,,,,,development_diagnostic_figures_only_not_final_test,diagnostic_figures,0e69b5bff544a92fb14015ebc75da5f27437420e68c83d55167749de97defda8
