target_date,overpass_id,platform,retained_tract_count_primary,retained_tract_fraction_primary,date_usable_primary,relative_endpoint_coverage_pass_primary,retained_tract_count_strict,retained_tract_fraction_strict,date_usable_strict,relative_endpoint_coverage_pass_strict,retained_tract_count_change,retained_tract_fraction_change
2020-05-16,landsat-8_20200516T182745Z,landsat-8,1061,0.968065693430657,True,True,179,0.1633211678832117,False,False,-882,-0.8047445255474452
2020-06-01,landsat-8_20200601T182750Z,landsat-8,375,0.34215328467153283,False,False,0,0.0,False,False,-375,-0.34215328467153283
2020-06-17,landsat-8_20200617T182800Z,landsat-8,71,0.06478102189781022,False,False,0,0.0,False,False,-71,-0.06478102189781022
2020-07-03,landsat-8_20200703T182808Z,landsat-8,1073,0.9790145985401459,True,True,704,0.6423357664233577,True,False,-369,-0.3366788321167883
2020-07-19,landsat-8_20200719T182813Z,landsat-8,1050,0.958029197080292,True,True,728,0.6642335766423357,True,False,-322,-0.29379562043795626
2020-08-04,landsat-8_20200804T182817Z,landsat-8,546,0.4981751824817518,False,False,171,0.15602189781021897,False,False,-375,-0.34215328467153283
2020-08-20,landsat-8_20200820T182823Z,landsat-8,1080,0.9854014598540146,True,True,311,0.28375912408759124,False,False,-769,-0.7016423357664234
2020-09-05,landsat-8_20200905T182831Z,landsat-8,1086,0.9908759124087592,True,True,764,0.6970802919708029,True,False,-322,-0.29379562043795626
2020-09-21,landsat-8_20200921T182836Z,landsat-8,1007,0.9187956204379562,True,False,90,0.08211678832116788,False,False,-917,-0.8366788321167883
2020-10-07,landsat-8_20201007T182839Z,landsat-8,967,0.8822992700729927,True,False,225,0.20529197080291972,False,False,-742,-0.677007299270073
2020-10-23,landsat-8_20201023T182840Z,landsat-8,0,0.0,False,False,0,0.0,False,False,0,0.0
2021-05-03,landsat-8_20210503T182750Z,landsat-8,1019,0.9297445255474452,True,False,3,0.002737226277372263,False,False,-1016,-0.927007299270073
2021-05-19,landsat-8_20210519T182758Z,landsat-8,377,0.34397810218978103,False,False,0,0.0,False,False,-377,-0.34397810218978103
2021-06-04,landsat-8_20210604T182806Z,landsat-8,953,0.8695255474452555,True,False,121,0.1104014598540146,False,False,-832,-0.7591240875912408
2021-06-20,landsat-8_20210620T182811Z,landsat-8,993,0.906021897810219,True,False,289,0.2636861313868613,False,False,-704,-0.6423357664233578
2021-07-06,landsat-8_20210706T182814Z,landsat-8,1068,0.9744525547445255,True,True,731,0.666970802919708,True,False,-337,-0.3074817518248175
2021-07-22,landsat-8_20210722T182818Z,landsat-8,415,0.37864963503649635,False,False,0,0.0,False,False,-415,-0.37864963503649635
2021-08-07,landsat-8_20210807T182826Z,landsat-8,1064,0.9708029197080292,True,True,861,0.7855839416058394,True,False,-203,-0.1852189781021898
2021-08-23,landsat-8_20210823T182831Z,landsat-8,81,0.0739051094890511,False,False,0,0.0,False,False,-81,-0.0739051094890511
2021-09-08,landsat-8_20210908T182835Z,landsat-8,1020,0.9306569343065694,True,False,139,0.12682481751824817,False,False,-881,-0.8038321167883212
2021-09-24,landsat-8_20210924T182838Z,landsat-8,822,0.75,True,False,6,0.005474452554744526,False,False,-816,-0.7445255474452555
2021-10-10,landsat-8_20211010T182844Z,landsat-8,905,0.8257299270072993,True,False,0,0.0,False,False,-905,-0.8257299270072993
2021-10-26,landsat-8_20211026T182846Z,landsat-8,1094,0.9981751824817519,True,True,748,0.6824817518248175,True,False,-346,-0.31569343065693434
2022-05-06,landsat-8_20220506T182811Z,landsat-8,978,0.8923357664233577,True,False,88,0.08029197080291971,False,False,-890,-0.8120437956204379
2022-05-14,landsat-9_20220514T182755Z,landsat-9,989,0.9023722627737226,True,False,288,0.26277372262773724,False,False,-701,-0.6395985401459854
2022-05-22,landsat-8_20220522T182816Z,landsat-8,818,0.7463503649635036,True,False,52,0.04744525547445255,False,False,-766,-0.698905109489051
2022-05-30,landsat-9_20220530T182751Z,landsat-9,1055,0.9625912408759124,True,True,162,0.1478102189781022,False,False,-893,-0.8147810218978102
